id,door_type,title,region,start_period,end_period,location,poster,syear,smonth,sday,eyear,emonth,eday,door
1,exhibit,국대호 : 빛의 속도,서울,2022-08-26,2022-10-07,노블레스 컬렉션,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220826_13%2F1661499908940tvUi7_JPEG%2F360_main_thumb_url_1661499908851.jpg,2022,8,26,2022,10,7,2
2,exhibit,황도유 : Alice in Wonderland,서울,2022-08-25,2022-09-24,김리아갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220825_296%2F1661407622935MISNN_JPEG%2F360_main_thumb_url_1661407622813.jpg,2022,8,25,2022,9,24,2
3,exhibit,딱 좋은 날,서울,2022-08-25,2022-10-30,너나들이센터,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220825_163%2F1661406079494s36tB_JPEG%2F360_28710153_main_thumb_url_1661406079347.jpg,2022,8,25,2022,10,30,2
4,exhibit,우아한 식탁 | The Table,서울,2022-08-25,2022-10-08,g컨템포러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220824_106%2F1661318650930HicL8_JPEG%2F360_main_thumb_url_1661318650840.jpg,2022,8,25,2022,10,8,2
5,exhibit,오종 : 낮은음으로부터,서울,2022-08-29,2022-09-30,원앤제이 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220824_113%2F1661318189490IdzOB_JPEG%2F360_main_thumb_url_1661318189321.jpg,2022,8,29,2022,9,30,2
6,exhibit,"세르주 무이, 박서보의 색채를 입다",서울,2022-08-20,2022-10-03,프레인빌라,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220824_256%2F1661316486606ldjmG_JPEG%2F360_main_thumb_url_1661316486586.jpg,2022,8,20,2022,10,3,2
7,exhibit,오스카 오이와 : If I were Living in...,서울,2022-08-29,2022-09-30,금산갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220824_141%2F1661310440637R3TKS_JPEG%2F360_main_thumb_url_1661310440622.jpg,2022,8,29,2022,9,30,2
8,exhibit,낸시랭 : 버블코코 파고다,서울,2022-08-22,2022-09-21,갤러리세줄,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220822_64%2F1661158586158p4T8v_PNG%2F360_main_thumb_url_1661158586124.png,2022,8,22,2022,9,21,2
9,exhibit,김승구 : 밤섬,서울,2022-08-03,2022-09-15,서울시청 하늘광장 갤러리,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220822_204%2F1661149661636EWGVd_JPEG%2F360_main_thumb_url_1661149661560.jpg,2022,8,3,2022,9,15,2
10,exhibit,이성근 : Untitled,서울,2022-08-22,2022-11-22,오뗄두스,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220822_69%2F1661148527058Jr4qo_JPEG%2F360_main_thumb_url_1661148527034.jpg,2022,8,22,2022,11,22,2
11,exhibit,김태윤 : Oblique Afternoons,서울,2022-08-19,2022-10-01,휘슬,https://search.pstatic.net/common?type=ofullfill&size=138x200&quality=95&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220822_296%2F1661147946730BeghH_JPEG%2F360_main_thumb_url_1661147946710.jpg,2022,8,19,2022,10,1,2
